enthrallments	enthrallment @@s
satiny	satin @@y
besmelling	be @@smell @@ing
thoughtless	thought @@less
conids	conid @@s
ureilite	ureilite
periwinkle	peri @@winkle
banterer	banter @@er
miscounsels	mis @@counsel @@s
colloquialize	colloquy @@al @@ize
pygmoids	pygmoid @@s
limeade	limeade
thiosulfates	thio @@sulfur @@ate @@s
messes	mess @@s
antipox	anti @@pox
Javanese	Javana @@ese
brideless	braide @@less
euchromatinic	eu @@chromatin @@ic
nonpenetrability	non @@penetrate @@able @@ity
pusher-thruster	push @@er @@thrust @@er
fatsias	fatsia @@s
Protestantised	Protestantise @@ed
blitherings	blithering @@s
snowsuits	snow @@suit @@s
buttinski	butt in @@ski
broflakes	broflake @@s
testlet	test @@let
lickerish	lick @@er @@ish
transluminescent	trans @@luminescent
coprince	co @@prince
besmearers	be @@smear @@er @@s
Parkerization	Parker @@ization
discharged	dis @@charge @@ed
referentlessness	refer @@ent @@less @@ness
irrefutableness	in @@refute @@able @@ness
reattendance	re @@a @@tend @@ance
multitrip	multi @@trip
Hungarianisms	Hungary @@an @@ism @@s
betalains	betalain @@s
phalaropes	phalarope @@s
monolinguals	mono @@lingual @@s
trinonadecanoate	trinonadeca @@ane @@oic @@ate
microthermocouple	micro @@thermo @@couple
rustre	rustre
aimbotted	aim @@bot @@ed
coathed	coath @@ed
nonvacuolar	non @@vacuole @@ar
reconditory	re @@conditory
bean-counter	bean @@counter
outstayer	out @@stay @@er
allochory	allochory
depurate	depurate
stomatitises	stoma @@ite @@ise @@s
backburnered	back @@burn @@er @@ed
prayerless	pray @@er @@less
Mahounds	Mahound @@s
unfavourable	un @@favour @@able
poly	poly
intraspinally	intra @@spine @@al @@ly
garbless	garb @@less
newsman	new @@s @@man
phonelines	phone @@line @@s
Christcross-row	Christcross @@row
vests	vest @@s
Ivernic	Ivernic
rhabdodontomorphans	rhabdodontomorphan @@s
brandnames	brand @@name @@s
rollups	rollup @@s
neopsychic	neo @@psychic
Bleaseite	Blease @@ite
polyparasitized	polyparasite @@ize @@ed
SBDs	SBD @@s
gumline	gum @@line
reliques	relique @@s
hyperpolymers	hyperpolymer @@s
musefulness	muse @@ful @@ness
catastrophizers	catastrophe @@ize @@er @@s
pseudolithiasis	pseudo @@lithiasis
catamite	catamite
gast	gast
resoftened	re @@soft @@en @@ed
pynes	pyne @@s
bellowers	bellow @@er @@s
wakefieldite	wakefieldite
earth	earth
cephalofoil	cephalo @@foil
oppugner	oppugn @@er
speechified	speech @@ify @@ed
metastrategy	meta @@strategy
poopskins	poop @@skin @@s
wingspan	wing @@span
bemouth	be @@mouth
generalling	general @@ing
tristability	tri @@stable @@ity
antepenults	ante @@penult @@s
Thoth	Thoth
eumorphic	eu @@morphic
fleshinesses	flesh @@y @@ness @@s
full-grade	full @@grade
pharyngolaryngectomies	pharyngo @@larynx @@ectomy @@s
nonduality	non @@dual @@ity
bioval	bio @@val
pathosystem	patho @@system
malbroucks	malbrouck @@s
moruti	moruti
doshas	dosha @@s
secretionary	secrete @@ion @@ary
upwrap	up @@wrap
laudanumed	laudanum @@ed
autoexposed	auto @@expose @@ed
tetraiodide	tetra @@iodine @@ide
prostatectomizes	pro @@state @@ectomy @@ize @@s
timequakes	time @@quake @@s
anaemias	anaemia @@s
kicked	kick @@ed
overmultiplied	over @@multiple @@ly @@ed
publicity	public @@ity
Xuchang	Xuchang
ootaxon	oot @@axon
chafferies	chaff @@ery @@s
flatling	flat @@ling
anginiform	angina @@iform
draftboards	draft @@board @@s
ancile	ancile
overcosseted	over @@cosset @@ed
hemostases	hemo @@stasis @@s
nonoriginalist	non @@origin @@al @@ist
sulfobenzoate	sulfo @@benzene @@oic @@ate
reabandon	re @@abandon
zettacoulomb	zetta @@coulomb
degreasing	de @@grease @@ing
hypertriglyceridaemia	hyper @@tri @@glycerine @@aemia
reallowing	re @@allow @@ing
unshare	un @@share
gameverses	gameverse @@s
isogoria	iso @@goria
outreign	out @@reign
crools	crool @@s
heaveno	heaven @@o
Salagramas	Salagrama @@s
multiwell	multi @@well
IrGs	IrG @@s
modaraba	modaraba
subluminal	sub @@lumen @@al
Huchow	Huchow
abortives	abort @@ive @@s
cartwhipping	cart @@whip @@ing
nonorthogonal	non @@ortho @@gon @@al
HPFs	HPF @@s
biofactory	bio @@factor @@y
transferrer	transfer @@er
slang-like	slang @@like
crocker	crock @@er
Cancio	Cancio
gigantopterids	gigantopterid @@s
Skilsaw	Skilsaw
templar	temple @@ar
tristes	triste @@s
frogs	frog @@s
guilties	guiltie @@s
colonigenic	coloni @@genic
equisingular	equi @@singular
fluoroadenosines	fluoro @@adenosine @@s
desnowed	de @@snow @@ed
isopentenylations	iso @@pentenyl @@ation @@s
toxicity	toxic @@ity
paleoequator	paleo @@equal @@ate @@or
Jinzhong	Jinzhong
deplorably	deplore @@able @@ly
snowdogs	snow @@dog @@s
monogenetic	mono @@gene @@ic
screenies	screen @@ie @@s
omophagia	omo @@phagia
tantalizings	tantalizing @@s
bhiksunis	bhiksuni @@s
epoxyeicosatrienoids	epoxyeicosatrienoid @@s
curetonite	Cureton @@ite
neovaginoplasty	neo @@vagino @@plasty
freeballers	freeball @@er @@s
yokan	yokan
metatable	metate @@able
nonpneumonic	non @@pneumonic
petticoating	petty @@coat @@ing
flavedo	flavedo
Beliveau	Beliveau
deconverting	de @@convert @@ing
electromassage	electro @@massage
roadsteads	road @@stead @@s
knuckliest	knuck @@le @@y @@est
FBRs	FBR @@s
prematted	pre @@mat @@ed
ergodicities	ergode @@ic @@ity @@s
microvacuolation	micro @@vacuole @@ation
pogamoggans	pogamoggan @@s
ludological	ludo @@logy @@ical
bdelloid	bdelloid
arbas	arba @@s
unminified	un @@minify @@ed
babymakers	baby @@make @@er @@s
dehydropalladation	dehydro @@palladation
post-grunge	post @@grunge
offholds	off @@hold @@s
bonnacons	bonnacon @@s
delta	delta
retransfers	re @@transfer @@s
cytoablation	cyto @@ablate @@ion
echoic	echo @@ic
micropsia	micro @@opsia
belayers	be @@lay @@er @@s
embrined	en @@brine @@ed
medaling	medal @@ing
marplot	mar @@plot
Liberty	Liberty
steno	steno
homesteads	home @@stead @@s
debauching	debauch @@ing
mosslands	moss @@land @@s
chambress	chamb @@er @@ess
Belux	Belux
Janiform	Janiform
fasciacytes	fasciacyte @@s
Zyla	Zyla
nonkinesigenic	non @@kinesigenic
postorgasmic	post @@orgasm @@ic
exosomatic	exo @@soma @@ic
perseverativeness	perseverate @@ive @@ness
wheat	wheat
nondead	non @@dead
Ku	Ku
mislinking	mis @@link @@ing
rereads	re @@read @@s
covenantalism	covenant @@al @@ism
hassling	haste @@ling
thallates	thallate @@s
rubashka	rubashka
tetrasubstituted	tetra @@substitute @@ed
mopungite	mopungite
custodes	custode @@s
infractions	infract @@ion @@s
insuppressive	in @@suppress @@ive
hightes	highte @@s
preallocation	pre @@allocate @@ion
sevenths	seven @@th @@s
scoldeth	scold @@eth
quaternions	quaternion @@s
ecclesiocracy	ecclesio @@cracy
tekans	tekan @@s
suprapedal	supra @@pedal
microdocumentaries	micro @@document @@ary @@s
juxtaposers	juxta @@pose @@er @@s
pasquinading	pasquinade @@ing
reavouch	reavouch
erectus	erectus
pancreatin	pancreatin
heterozygousness	hetero @@zygous @@ness
manroot	man @@root
acetophenones	aceto @@phenyl @@one @@s
bismutohauchecornite	bismuto @@hauchecornite
Iowans	Iowan @@s
superselected	super @@select @@ed
Stephan	Stephan
preprandial	pre @@prandial
Dufort	Dufort
hyponutrition	hypo @@nutrition
cork	cork
anti-circumcisionist	anti @@circumcise @@ion @@ist
atherectomy	ather @@ectomy
gut-shoot	gut @@shoot
circumbuccal	circum @@bucca @@al
cannibalizing	cannibal @@ize @@ing
uncrook	un @@crook
windmeter	wind @@meter
quintopolies	quintopoly @@s
nanoplate	nano @@plate
machicolating	machicolate @@ing
Aoki	Aoki
cinéfilms	ciné @@film @@s
noncontributing	non @@contribute @@ing
unoccupied	un @@occupy @@ed
Nammer	Nammer
quintessentialness	quintessence @@ial @@ness
tractions	traction @@s
encapsulated	en @@capsule @@ated
protoancestors	proto @@ancestor @@s
forelearn	fore @@learn
parathyroidectomy	para @@thyroid @@ectomy
haemorrhoidectomies	haemorrhoid @@ectomy @@s
taleds	taled @@s
sotomuso	sotomuso
exactnesses	exact @@ness @@s
rehosted	re @@host @@ed
bourded	bourd @@ed
estromania	estro @@mania
riskily	risk @@y @@ly
para-athlete	para @@athlete
anallantoic	anallantois @@ic
lukuchuko	lukuchuko
British Columbian	Britaish Columbus @@ian
naibors	naibor @@s
asepticizing	a @@septic @@ize @@ing
suffer	suffer
reseizers	re @@seize @@er @@s
olalliberries	olalliberry @@s
famishment	famish @@ment
organismically	organ @@ism @@ic @@ally
magnetochromes	magneto @@chrome @@s
patriarchist	patri @@archy @@ist
Woodbine	Woodbine
barnaclelike	barnacle @@like
stretched	stretch @@ed
xenografting	xeno @@graft @@ing
quintillion	quint @@illion
sharksuckers	shark @@suck @@er @@s
orthographizes	orthography @@ize @@s
intermaze	inter @@maze
tetrasilicate	tetra @@silicon @@ate
vasotocinergic	vaso @@tocin @@ergic
cosing	cose @@ing
lurkingly	lurk @@ing @@ly
anticlines	anti @@cline @@s
vigilate	vigilate
re-gay	re @@gay
cowashed	cowash @@ed
yottagrams	yotta @@gram @@s
behaviormetric	be @@have @@ior @@metry @@ic
overcommercialize	over @@commerce @@ial @@ize
multiliterate	multi @@literate
wetproofing	wet @@proof @@ing
intermolar	inter @@mole @@ar
extrasegmentally	extra @@segment @@al @@ly
idiophase	idio @@phase
Pattaya	Pattaya
porkish	pork @@ish
correolides	correolide @@s
bradyarrhythmias	brady @@arrhythmia @@s
recaptioning	re @@caption @@ing
splooges	splooge @@s
puddytats	puddytat @@s
unrelished	un @@relish @@ed
psychogenicity	psycho @@genic @@ity
masturbated	masturbate @@ed
swindler	swindle @@er
pitilessly	pity @@less @@ly
bobbysocks	bobbysock @@s
bespins	be @@spin @@s
undermaintaining	under @@maintain @@ing
infarctive	infarct @@ive
unbolding	un @@bold @@ing
Anglophile	Anglo @@phile
interscapular	inter @@scapula @@ar
Kaesong	Kaesong
transphenomenal	trans @@phenomenon @@al
defang	de @@fang
presswheels	press @@wheel @@s
Nishioka	Nishioka
diazotized	diazotize @@ed
libellas	libella @@s
curtainlessness	curtain @@less @@ness
sedimented	sediment @@ed
qualophile	quale @@o @@phile
endoprocts	endo @@proct @@s
nonspirit	non @@spirit
lotional	lotion @@al
tenpercenteries	tenpercentery @@s
elrigs	elrig @@s
uprushes	up @@rush @@s
pseudocell	pseudo @@cell
epibiont	epi @@biont
amylogenic	amyl @@o @@genic
subjectists	subject @@ist @@s
maternotoxicity	materno @@toxic @@ity
phylotyped	phylotype @@ed
Klondiker	Klondiker
carboxyhemoglobins	carboxyhemoglobin @@s
Zapruder	Zaprude @@er
tyrannosaurs	tyrannosaur @@s
bradydysrhythmias	bradydysrhythmia @@s
terpsichorean	terpsichorean
dusking	dusk @@ing
nonsuspicious	non @@suspect @@ious
excitingly	excite @@ing @@ly
avalvular	a @@valvular
BCGs	BCG @@s
dideoxides	di @@deoxide @@s
unprintability	un @@print @@ability
phosphoacylases	phospho @@acyl @@ase @@s
legalist	legal @@ist
counterfactualizing	counter @@fact @@al @@ize @@ing
neuroligands	neuro @@ligand @@s
nonphoto	non @@photo
antiphosphothreonine	anti @@phospho @@threonine
pneumostome	pneumo @@stome
speedying	speed @@y @@ing
lipsynchs	lipsynch @@s
endophenazine	endo @@phenazine
medievally	medieval @@ly
rhamnosylglucosides	rhamnosylglucoside @@s
supercalifragilisticexpialidocious	supercalifragilisticexpialidocious @@ly
supralunar	supra @@lunar
Dongbao	Dongbao
ergatocratic	ergato @@crat @@ic
threpe	threpe
alba	alba
cybercities	cyber @@city @@s
schmoozed	schmooze @@ed
hemiglyph	hemi @@glyph
misblow	mis @@blow
nonaversive	non @@aversive
extraprosodic	extra @@prosody @@ic
kinglier	kin @@ing @@ly @@er
undercoated	under @@coat @@ed
mercaptoalkyl	mercapto @@alkyl
untreasure	un @@treasure
uncathartic	un @@cathartic
ichthyophile	ichthyo @@phile
unmournful	un @@mourn @@ful
urocyanin	uro @@cyanin
unfederated	un @@federate @@ed
winking	wink @@ing
overwearies	over @@weary @@s
horticulturalists	horticulture @@al @@ist @@s
bedirted	be @@dirt @@ed
infrastructure	infra @@structure
windshaft	wind @@shaft
hemimandibular	hemi @@mandible @@ar
premetaphases	pre @@meta @@phase @@s
monosaponification	mono @@saponify @@ification
Cora	Cora
touts	tout @@s
moories	moor @@y @@s
outblessing	out @@bless @@ing
underblowing	under @@blow @@ing
coreactants	co @@re @@actant @@s
Draskhanakert	Draskhanakert
outserve	out @@serve
vexful	vex @@ful
decoyings	decoying @@s
unsalinized	un @@salinize @@ed
photopolymerizable	photopolymerize @@able
yarnspinner	yarn @@spin @@er
lootocracy	loot @@o @@cracy
paraphobia	para @@phobia
prefreezes	pre @@freeze @@s
grzywnas	grzywna @@s
pakamac	pakamac
adipogenous	adipo @@genous
Angelus	Angelus
Dinah	Dinah
posek	posek
heterotrichous	hetero @@trichous
remurmurs	re @@murmur @@s
bleachabilities	bleach @@ability @@s
telegraphical	telegraphy @@ical
self-obsession	self @@obsess @@ion
chemogenetics	chemo @@gene @@ic @@s
SDAer	SDA @@er
knopped	knop @@ed
alarmable	alarm @@able
phosphoglucose	phospho @@glucose
scrutinied	scrutiny @@ed
laborously	labor @@ous @@ly
neurophenotype	neuro @@pheno @@type
frigidarium	frigidarium
naphthylmethyls	naphthylmethyl @@s
sadguru	sadguru
visualness	vision @@ual @@ness
pugillaris	pugillaris
forwounding	for @@wound @@ing
fumarium	fumarium
neuroregulator	neuro @@regulate @@or
millocratic	mill @@o @@cratic
nonfungicide	non @@fungus @@cide
Fortranlike	Fortran @@like
matoppie	matoppie
adjectitiously	adjectitious @@ly
unubiquitylated	un @@ubiquitylate @@ed
windlestraes	windle @@strae @@s
Bamars	Bamar @@s
dyslamination	dys @@lamina @@ation
epigenetic	epi @@gene @@ic
dancegoers	dance @@go @@er @@s
teeboxes	teebox @@s
skeduled	skedule @@ed
shockpeakons	shock @@peakon @@s
regrets	regret @@s
Abitibis	Abitibi @@s
hypotonized	hypotonize @@ed
nonenforceable	non @@en @@force @@able
kotschubeite	kotschubeite
encyclicals	encycle @@ic @@al @@s
noncontinuing	non @@continue @@ing
begloom	be @@gloom
tranquillity	tranquil @@ity
mismigrated	mis @@migrate @@ed
preterists	preterist @@s
oculosympathetic	oculo @@sympathy @@etic
summers	sum @@er @@s
garters	gart @@er @@s
haemopathologist	haemo @@pathology @@ist
bankroller	bank @@roll @@er
insultingness	insult @@ing @@ness
preformulated	pre @@formulate @@ed
fleahoppers	flea @@hop @@er @@s
disvaluing	dis @@value @@ing
computerettes	computer @@ette @@s
turmoiled	turmoil @@ed
fluey	flue @@y
assaulteth	assault @@eth
disciplinants	disciple @@ine @@ant @@s
nonmaturity	non @@mature @@ity
stablekeepers	stable @@keep @@er @@s
unrivet	un @@rivet
autoprotolysis	auto @@proto @@lysis
phytolacca	phyto @@lacca
skinked	skink @@ed
retraits	re @@trait @@s
commingle	co @@ming @@le
balsamically	balsam @@ic @@ally
statuas	statua @@s
demuslimized	de @@muslimize @@ed
neurorthids	neurorthid @@s
Gramscians	Gramscian @@s
holorecordings	holo @@record @@ing @@s
macroshocks	macro @@shock @@s
extremolytes	extremo @@lyte @@s
tends	tend @@s
derivatising	derivatise @@ing
kitish	kite @@ish
roisterings	roistering @@s
Aeolism	Aeolism
ariolaters	ariolater @@s
falchion	falchion
Manoah	Manoah
miscategorizations	mis @@category @@ization @@s
machinofactured	machinofacture @@ed
amenorrheics	ameno @@rrhea @@ic @@s
siphonal	siphon @@al
sensors	sense @@or @@s
expromissors	expromissor @@s
supercollapsar	super @@collapsar
pishachi	pishachi
Capo	Capo
dearms	dearm @@s
harkerite	harkerite
flagellomaniacs	flagellomaniac @@s
moegoe	moegoe
pursueth	pursue @@eth
vernacularizations	vernacularization @@s
missionizes	mission @@ize @@s
sennidins	sennidin @@s
recategorize	re @@category @@ize
sadder	sad @@er
oceanfronts	ocean @@front @@s
tassels	tassel @@s
postexpiratory	post @@expire @@atory
osteochondroprecursors	osteochondroprecursor @@s
TOSETs	TOSET @@s
looplessness	loop @@less @@ness
phosphotransacetylase	phospho @@transacetyl @@ase
ranchgirls	ranch @@girl @@s
gig-goer	gig @@go @@er
clipeus	clipeus
kgosi	kgosi
bracing	brace @@ing
ergate	ergate
bathyscope	bathy @@scope
Kuhns	Kuhn @@s
lawbooks	law @@book @@s
decriminalized	de @@crime @@al @@ize @@ed
girons	giron @@s
limier	limier
delurkers	de @@lurk @@er @@s
pissoir	pissoir
chiromancy	chiromancy
detethered	de @@tether @@ed
disposed	dispose @@ed
exponentiated	exponentiate @@ed
unsubscribe	un @@subscribe
polygrapher	poly @@graphy @@er
deexcited	de @@excite @@ed
faultlessness	fault @@less @@ness
nonwater	non @@water
rale	rale
jac-shirt	jac @@shirt
SSKs	SSK @@s
cytostructures	cyto @@structure @@s
unclogs	un @@clog @@s
perceptualness	percept @@al @@ness
haillike	hail @@like
pieceless	piece @@less
benzyloxymethyls	benzyloxymethyl @@s
egested	egest @@ed
sericterium	sericterium
Emmetsburg	Emmet @@burg
radiohalogenations	radio @@halogen @@ation @@s
occurrings	occurring @@s
Bernardini	Bernardini
chromogenic	chromo @@genic
unconfinable	un @@confine @@able
rettery	ret @@er @@y
graphs	graph @@s
geodiids	geodiid @@s
antronasal	antro @@nasal
untalkable	un @@talk @@able
microinequity	micro @@in @@equility
deoxidizes	de @@oxide @@ize @@s
multibeam	multi @@beam
mixtion	mixtion
hetaerist	hetaerist
oneiromancers	oneiro @@mancy @@er @@s
buckjumpers	buck @@jump @@er @@s
selenoenzyme	seleno @@enzyme
sulfatolamide	sulfatolamide
luzerns	luzern @@s
Weihui	Weihui
unacclimatised	un @@ac @@climatise @@ed
palaeornithologists	palaeornithology @@ist @@s
mewl	mewl
pronouncedly	pronounce @@ed @@ly
alatrofloxacin	alatrofloxacin
runniest	run @@y @@est
phonolite	phono @@lite
readcounts	re @@adcount @@s
endomorphy	endo @@morphy
radioimmunoassayable	radio @@immuno @@assay @@able
liandratite	liandratite
acetylajmaline	acetyl @@ajmaline
diphyodonts	diphyodont @@s
comfies	comfy @@s
nonvisaed	non @@visa @@ed
champurrados	champurrado @@s
cybertravel	cyber @@travel
verlanising	verlanise @@ing
nonminimum	non @@minimum
Mzansi	Mzansi
adoptest	ad @@opt @@est
photomezzotypes	photo @@mezzotype @@s
superclone	super @@clone
lack-latin	lack @@latin
homacanth	homacanth
teeters	teeter @@s
patchcoats	patch @@coat @@s
insinewed	in @@sinew @@ed
bulbectomy	bulb @@ectomy
cinephotomicrographies	cine @@photo @@micrography @@s
coobservable	co @@observe @@able
Proto-Turkic	Proto @@Turk @@ic
alterable	alter @@able
autotitrating	auto @@titre @@ate @@ing
peripherovascular	peri @@phero @@vascular
veinstone	vein @@stone
vulvate	vulvate
deleverage	de @@liefer @@age
nanovalves	nano @@valve @@s
pooler	pool @@er
panenterovirus	panenterovirus
Eleans	Elean @@s
risedronates	risedronate @@s
LaVeyanists	LaVeyan @@ist @@s
Haufschild	Haufschild
seafare	sea @@fare
corticothalamic	cortico @@thalamus @@ic
epiphytics	epi @@phyte @@ics
limnologically	limno @@logy @@ical @@ly
intwine	in @@twine
methoxychalcones	methoxychalcone @@s
indexing	index @@ing
detur	detur
carboxydismutases	carboxy @@dismutate @@ase @@s
Norumbega	Norumbega
sidepipe	side @@pipe
spherite	sphere @@ite
keepables	keep @@able @@s
indeedy-doody	in @@deedy @@doody
pharids	pharid @@s
nonshelled	non @@shell @@ed
dousting	doust @@ing
denouncements	denounce @@ment @@s
aggrandisers	aggrandiser @@s
sociability	sociable @@ity
metaphrase	metaphrase
elasipods	elasipod @@s
azafluorene	aza @@fluorene
acrodrome	acro @@drome
frankenviruses	franken @@virus @@s
oscillates	oscillate @@s
mobeds	mobed @@s
smutfic	smut @@fic
insecty	insect @@y
seroneutralised	sero @@neutral @@ise @@ed
respirologists	respirology @@ist @@s
compunctiousness	compunctious @@ness
monoformazans	monoformazan @@s
gelotology	gelot @@ology
teraglins	teraglin @@s
photoinhibits	photo @@inhibit @@s
beriberi	beriberi
inhuming	in @@hume @@ing
actualness	act @@ual @@ness
permeabilisations	permeabilisation @@s
ditactic	di @@tactic
extrabacterial	extra @@bacteria @@al
yeehawing	yeehaw @@ing
lodgehouse	lodge @@house
yuans	yuan @@s
katastematic	katastem @@atic
micronucleations	micro @@nucleation @@s
unransomed	un @@ransom @@ed
diaphanids	diaphanid @@s
pyosalpinxes	pyo @@salpinx @@s
ending	end @@ing
snowfighters	snow @@fight @@er @@s
Nottage	Nottage
copyleftist	copyleft @@ist
eigenfinger	eigen @@finger
parasphenoids	para @@sphenoid @@s
death-bearing	death @@bear @@ing
ungrows	un @@grow @@s
elpidiids	elpidiid @@s
bumbailiffs	bumbailiff @@s
frailish	frail @@ish
enwisened	enwise @@en @@ed
ecallose	ecallose
radiation	radiate @@ion
mumped	mump @@ed
Unas	Unas
untrumpeted	un @@trumpet @@ed
calcifediol	calcifediol
synthesizability	synthesis @@ize @@ability
sinik	sinik
shamanising	shamanise @@ing
Oromian	Orom @@ian
headspins	head @@spin @@s
postpipes	post @@pipe @@s
ressies	ressie @@s
dapperest	dapper @@est
witticises	witticise @@s
dipsogenic	dipso @@genic
underassessment	under @@assess @@ment
cryptocyanine	crypto @@cyanine
solidnesses	solid @@ness @@s
keratoconjunctivitis	kerato @@conjunctiva @@itis
Swindonians	Swindon @@ian @@s
cardioneurosis	cardio @@neuro @@osis
mee-maw	mee @@maw
intercalating	inter @@calate @@ing
incurs	incur @@s
mandipropamids	mandipropamid @@s
characterisability	character @@ise @@ability
cubiculums	cubiculum @@s
mythomane	mythomane
upblazes	up @@blaze @@s
unjeweled	un @@jewel @@ed
clewed	clew @@ed
scincids	scincid @@s
autolithography	auto @@litho @@graphy
elongatoolithids	elongatoolithid @@s
gravure	gravure
catechisings	catechising @@s
cyanochroite	cyanochroite
outyelling	out @@yell @@ing
arrayed	array @@ed
abbrevns	abbrevn @@s
immunogen	immuno @@gen
toplines	top @@line @@s
adsorbabilities	adsorb @@ability @@s
e-tutorship	e @@tutor @@ship
atrabiliousness	atrabilious @@ness
elutable	elute @@able
Shermer	Shermer
randomnesses	random @@ness @@s
displeasuring	dis @@pleasure @@ing
Iranianisms	Iran @@ian @@ism @@s
mementos	memento @@s
daysailed	day @@sail @@ed
Etruscans	Etruscan @@s
warblers	warble @@er @@s
unincinerated	un @@incinerate @@ed
Duisburg	duis @@burg
biribas	biriba @@s
four-tracked	four @@track @@ed
ringers	ring @@er @@s
computating	computate @@ing
assetlessness	asset @@less @@ness
tuberiform	tuber @@iform
disagreeing	dis @@agree @@ing
biopump	bio @@pump
hemisodium	hemi @@soda @@ium
nutsy	nut @@s @@y
camaropteras	camaroptera @@s
wannarexic	wannarexia @@ic
yesterdawn	yester @@dawn
bewrecked	be @@wreck @@ed
tensionlessness	tense @@ion @@less @@ness
oligorotaxanes	oligo @@rotaxane @@s
loath	loath
Gomorrites	Gomorrite @@s
greenth	green @@th
quopping	quop @@ing
leucitic	leucite @@ic
receptible	receptible
precompensating	pre @@compensate @@ing
romanticalness	romant @@ic @@al @@ness
procedurals	procedure @@al @@s
polycrystalline	poly @@crystal @@ine
Piankeshaw	Piankeshaw
cyberfeminist	cyber @@feminism @@ist
desynchronized	de @@synchronize @@ed
recluding	reclude @@ing
emoves	emove @@s
deniable	deny @@able
aquaphobics	aqua @@phobic @@s
cybergeneration	cyber @@generate @@ion
icosaspheres	icosa @@sphere @@s
bedazzled	be @@daze @@le @@ed
unageing	un @@age @@ing
thwited	thwite @@ed
sexist	sex @@ist
segolate	segolate
anti-agnostic	anti @@agnostic
Fasano	Fasano
roundrects	roundrect @@s
bryophyllum	bryo @@phyllum
unharmoniousness	un @@harmony @@ous @@ness
labrosones	labrosone @@s
tarped	tarp @@ed
phosphoresce	phosphor @@esce
sperrylite	sperrylite
spoored	spoor @@ed
amphiblastic	amphi @@blast @@ic
wield	wield
osteomyelitis	osteo @@myelo @@itis
pedogeochemistry	pedo @@geo @@chemist @@ry
demoss	de @@moss
outwill	out @@will
borosulphates	boro @@sulphate @@s
chlorotetracyclines	chloro @@tetra @@cycle @@ine @@s
ligand	ligand
mity	mity
disharmonising	dis @@harmony @@ise @@ing
rootstalk	root @@stalk
antepenultimas	ante @@penultima @@s
carsick	car @@sick
pharmacopÅ“ical	pharmacopÅ“ic @@al
tracheoinnominate	tracheo @@innominate
e-fed	e @@fee @@ed
counterfactualizes	counter @@fact @@al @@ize @@s
noninterpersonal	non @@interperson @@al
furcated	furcate @@ed
Quirino	Quirino
unpetulant	un @@petulant
occasions	occasion @@s
tankerload	tank @@er @@load
monodimetric	mono @@di @@metry @@ic
creach	creach
stotting	stot @@ing
songwriters	songwrite @@er @@s
nonconformist	non @@conform @@ist
antivenomics	anti @@venomics
passified	pass @@y @@fy @@ed
venturers	venture @@er @@s
gigantomastia	giganto @@mastia
amicroscopic	a @@micro @@scope @@ic
photoassimilatory	photo @@assimilate @@ory
fabricators	fabricate @@or @@s
showgoer	show @@go @@er
mirachs	mirach @@s
outleading	out @@lead @@ing
misemphasises	mis @@emphasise @@s
stadholderates	stadholderate @@s
hishes	hish @@s
undervalue	under @@value
borophenes	borophene @@s
pettyfogged	pettyfog @@ed
italicizing	italic @@ize @@ing
robotised	robot @@ise @@ed
gravitation	grave @@ity @@ation
unpowdery	un @@powder @@y
Inuks	Inuk @@s
holoferritin	holo @@ferritin
misconjecture	mis @@conjecture
primos	primo @@s
Guzman	Guzman
Bonifatius	Bonifatius
dambos	dambo @@s
pseudoloans	pseudoloan @@s
CSRFs	CSRF @@s
empowerest	en @@power @@est
scolecoid	scolecoid
binucleolate	bi @@nucleolate
maltolate	malt @@ol @@ate
reviewless	re @@view @@less
regardfulness	regard @@ful @@ness
paradoxographers	paradoxographer @@s
oxabicycloheptenes	oxa @@bi @@cyclo @@hept @@ene @@s
nonroyalists	non @@roy @@al @@ist @@s
reattack	re @@attack
sporologist	spore @@ology @@ist
physicalising	physic @@s @@al @@ise @@ing
aspecting	aspect @@ing
NSFM	NSFM
risqué	risqué
mediosuperior	medio @@superior
unportrayable	un @@portray @@able
duplicature	duplicature
inapposite	in @@apposite
gaylussite	gaylussite
Nampoothiris	Nampoothiri @@s
showier	show @@y @@er
tetrodons	tetrodon @@s
neopaganizes	neo @@pagan @@ize @@s
inoppressive	in @@oppress @@ive
ocarinists	ocarine @@ist @@s
overdrafting	over @@draft @@ing
arboreomorphs	arboreomorph @@s
zinefest	zine @@fest
decrepity	decrepity
leaketh	leak @@eth
exegeting	exeget @@ing
looed	looe @@ed
Japanology	Jap @@an @@ology
bispropargylic	bis @@propargyl @@ic
conformers	conform @@er @@s
upturnings	upturning @@s
isotopies	iso @@topy @@s
geroprotection	gero @@protect @@ion
ferrets	ferret @@s
semes	seme @@s
saw-wort	saw @@wort
hydroassets	hydro @@asset @@s
deafblind	deaf @@blind
Cinotti	Cinotti
forebody	fore @@body
after-stroke	after @@stroke
defleshes	de @@flesh @@s
pharmacoeconomics	pharmaco @@economics
sacramentals	sacrament @@al @@s
Curtisland	Curtis @@land
labiolingually	labio @@lingual @@ly
Broxson	Brox @@son
thioimidate	thio @@imidate
reslot	re @@slot
agisted	agist @@ed
transload	trans @@load
ivorines	ivorine @@s
smetana	smetana
whishing	whish @@ing
vizirates	vizir @@ate @@s
chiropractors	chiropract @@or @@s
dalesides	dale @@side @@s
nonzoological	non @@zoo @@logy @@ical
