цууны	цуу @@ы
кодоо	код @@оо
гундуу	гундуу
тангарагт	тангараг @@т
бодис	бодис
нимбэгээ	нимбэг @@ээ
фокусын	фокус @@ын
идэгдэх	идэх @@гдэх
улайрсан	улай @@рах @@сан
мэдрэмжийг	мэдрэх @@мж @@ийг
зайнаас	зай @@аас
хамсаатанд	хам @@сах @@аа @@д
цондонгоо	цондон @@оо
зэвүүцлийн	зэвүү @@цэх @@л @@ийн
дайчнаа	дайн @@чин @@аа
түдгэлзүүлэх	түдгэлзэх @@үүлэх
шалгалтыг	шалгах @@лт @@ыг
молекултай	молекул @@тай
өрсөлдөгчөөс	өрсөх @@лдөх @@гч @@өөс
давхрага	давхар @@га
даяаршингаа	даяар @@ших @@нгаа
шүүгчид	шүүх @@гч @@д
ялгаруулалттай	ялгах @@рах @@уулах @@лт @@тай
зүүд	зүүд
манлайллаар	манлай @@лах @@л @@аар
хагацалтай	хагацах @@л @@тай
мансуурлын	мансуурах @@л @@ын
төвлөрүүлэлтээр	төв @@лрөх @@үүлэх @@лт @@ээр
текстээ	текст @@ээ
хөрөнгөтөн	хөрөнгө @@төн
савхадъя	савх @@дах @@я
томьёогоо	томьёо @@оо
тамхичинд	тамхи @@чин @@д
аэробик	аэробик
үнийг	үнэ @@ийг
шангаас	шан @@аас
тавиуртай	тавих @@уур @@тай
голомтоо	голомт @@оо
экологио	экологи @@о
торнимогц	торних @@могц
хөнгөлөлтөө	хөнгөх @@лөх @@лт @@өө
орлогчид	ор @@лох @@гч @@д
дамжуулагчид	дам @@жих @@уулах @@гч @@д
бутралд	бут @@рах @@л @@д
мөлжлөгийг	мөлжих @@лөг @@ийг
тогтоолоос	тогтох @@оох @@л @@оос
хурлаа	хурал @@аа
цэнгүүн	цэнгэх @@үүн
цалинд	цалин @@д
өмсгөлтэй	өмсөх @@гөх @@л @@тэй
туурайд	туурай @@д
бадминтон	бадминтон
үйлдлээс	үйл @@дэх @@л @@ээс
бөглөөнд	бөглөх @@л @@д
магадлагаа	магад @@лах @@гаа
экваторт	экватор @@т
илгээгчээр	илгээх @@гч @@ээр
заналхийлэлтэй	занал @@хийлэх @@л @@тэй
хөдлөлд	хөдлөх @@л @@д
оператортай	оператор @@тай
ботаникаа	ботаник @@аа
хүндээс	хүнд @@ээс
эвдрэлийг	эвдрэх @@л @@ийг
масштабыг	масштаб @@ыг
өчгийн	өчиг @@ийн
онолоос	онох @@л @@оос
дагалдагчид	дага @@лдах @@гч @@д
капитализмын	капитализм @@ын
автобуснаас	автобус @@аас
солбицолгүй	солбих @@цох @@лгүй
банзны	банз @@ы
элгийг	элэг @@ийг
галлалттай	гал @@лах @@лт @@тай
улнаас	ул @@аас
туршуул	турших @@уул
батал	батах @@л
буртаг	буртаг
ширгийн	ширэг @@ийн
гүйлтийг	гүйх @@лт @@ийг
илбэчний	илбэ @@чин @@ий
уялдаанаас	уях @@лдах @@аа @@аас
бонд	бон @@д
сийрэгжилгүй	сийрэг @@жих @@лгүй
хадуураас	хадуу @@аас
үүдтэй	үүд @@тэй
стандартыг	стандарт @@ыг
тандагч	тандах @@гч
зараас	зар @@аас
гоёлд	гоё @@л @@д
нэгтгэх	нэгт @@гэх
даяаршина	даяар @@шин @@аа
солбицтол	солбих @@цох @@лт
радиог	радио @@г
харилцуураа	харилцах @@уур @@аа
тушаалаар	тушаах @@л @@аар
нягтаршлаа	нягтар @@ших @@л @@аа
худгаа	худаг @@аа
жишгээр	жишиг @@ээр
хуримтлалд	хурим @@тлах @@л @@д
тарилгаар	тарих @@лга @@аар
хөнгөмсөг	хөнгөх @@мөгс
тогтворгүй	тогтох @@вор @@гүй
болзолтой	болзох @@л @@той
сорилгыг	сорих @@лго @@ыг
тивээ	тив @@ээ
дэвүүртэй	дэвүүр @@тэй
ёгтлолын	ёгт @@лох @@л @@ын
зайрмаг	зайрмаг
нэрд	нэр @@д
гинжээр	гинж @@ээр
бүрэх	бүрэх
асуулгаа	асуух @@лга @@аа
эзэмшигчид	эзэн @@мших @@гч @@д
боргионд	боргио @@д
дуншилтаа	дунших @@лт @@аа
шалгалтад	шалгах @@лт @@д
харьцал	харих @@цал
холестериноор	холестерин @@оор
тахицгаа	тахих @@цг @@аа
дохиогоор	дохио @@оор
үзүүлэх	үзэх @@үүлэх
гортигоо	гортиг @@оо
солбицвол	солбицох @@вол
эстэй	эс @@тэй
эсрэгцлийн	эсрэг @@цэх @@л @@ийн
асрын	асар @@ын
уулд	уул @@д
найрамдлыг	найрах @@мдах @@л @@ыг
тавиурыг	тавих @@уур @@ыг
хөтлөгчөөс	хөтлөх @@гч @@өөс
хоригийн	хориг @@ийн
үйл	үйл
жаягаа	жаяг @@аа
цуглаанд	цуг @@лах @@аа @@д
барилгатай	барих @@лга @@тай
солонгоо	солон @@оо
хирсийн	хирс @@ийн
цэнгэлд	цэнгэх @@л @@д
дулаартал	дулаар @@тах @@л
чагнаал	чагнах @@аал
наалтад	наах @@лт @@д
хөршөөс	хөрш @@өөс
чононд	чоно @@д
чийгшлийн	чийг @@шил @@ийн
дарангуйлагчийн	дарах @@нгуй @@лах @@гч @@ийн
эгнээтэй	эгнэх @@ээ @@тэй
элемент	элемент
донсолгоонд	донслох @@гоо @@д
голионоос	голио @@оос
циркээс	цирк @@ээс
шугуйг	шугуй @@г
тунах	тунах
хорвоотой	хорвоо @@той
аршийн	арш @@ийн
услагчийн	ус @@лах @@гч @@ийн
имтэй	им @@тэй
тулалдааныг	тулах @@лдах @@аа @@ыг
арлыг	арал @@ыг
байршуулах	байр @@ших @@уулах
эргэлзлээ	эргэлзэх @@л @@ээ
дэмжигчид	дэмжих @@гч @@д
үнэмшилд	үнэн @@мших @@л @@д
ялалт	ялах @@лт
шороотой	шороо @@той
ажиллая	ажил @@лах @@я
тэлэлтэд	тэлэх @@лт @@д
үзмээ	үзэм @@ээ
боржин	боржин
актын	акт @@ын
унжлага	унжих @@лага
боловсролоор	боловсрох @@л @@оор
лаанд	лаа @@д
арифметикаар	арифметик @@аар
буурийг	буурь @@ийг
шүүсээс	шүүс @@ээс
жатгаа	жатга @@аа
цайгаар	цай @@аар
бэлийг	бэлий @@ийг
биллиардтай	биллиард @@тай
хаягт	хаяг @@т
хэвийн	хэв @@ийн
дэлгүүрийн	дэлгэх @@үүр @@ийн
нөхөөсөөр	нөх @@өөс @@өөр
илтэй	ил @@тэй
сөнөөгчид	сөнөөх @@гч @@д
нуманд	нум @@д
хэлэлцэгчийг	хэлэх @@лцэх @@гч @@ийг
бичиглэлээ	бичих @@г @@лэх @@л @@ээ
мухлагаа	мухлаг @@аа
цуурайтай	цуурай @@тай
хэмжээнээс	хэм @@жих @@ээ @@ээс
найраар	найр @@аар
цувралын	цуврах @@л @@ын
ордноор	орд @@н @@оор
дэлгэцтэй	дэлгэх @@ц @@тэй
шавах	шавах
моодоор	моод @@оор
өчигдөр	өчигдөр
чангарал	чанга @@рах @@л
чиглэлтэй	чиг @@лэх @@л @@тэй
гишүүнийг	гишүүн @@ийг
мөргөлөөр	мөргөх @@л @@өөр
өмсгөл	өмсөх @@гөл
тоншуул	тонших @@уул
шпагеттиа	шпагетти @@а
тогтох	тогтох
гуядах	гуях @@дах
татвараас	татах @@вар @@аас
барилгаас	барих @@лга @@аас
диаметрээ	диаметр @@ээ
далдлалттай	далд @@лах @@лт @@тай
ихсээ	ихэс @@ээ
чихэр	чихэр
мэхлэлтийг	мэх @@лэх @@лт @@ийг
уялдаатай	уях @@лдах @@аа @@тай
дээвэртэй	дээвэр @@тэй
дэвшлийг	дэвших @@л @@ийг
жигшлээр	жигших @@л @@ээр
явуулах	явах @@уулах
шууданчаар	шуудан @@ч @@аар
бахархлаар	бахар @@хах @@л @@аар
утаагаа	утаа @@аа
нууцлалд	нууц @@лах @@л @@д
өнцгийн	өнцөг @@ийн
дэнсээр	дэнс @@ээр
цөмөөс	цөм @@өөс
боолоо	боох @@лоо
дүнзээ	дүнз @@ээ
цогцостой	цогцос @@той
зөвлөмж	зөв @@лөх @@мж
тэвчээрээр	тэвчих @@ээр @@ээр
амьдрал	амь @@драх @@л
борлуулалтын	борлох @@уулах @@лт @@ын
дүгнэлтийг	дүгнэх @@лт @@ийг
физиологид	физиологи @@д
нэмэлтээс	нэмэх @@лт @@ээс
оролцоог	орох @@лцоо @@г
уянгыг	уянга @@ыг
киноны	кино @@ы
дэвшил	дэвших @@л
бэлчээрт	бэлчих @@ээр @@т
зэрэгт	зэрэг @@т
ертөнц	ертөнц
слайдад	слайд @@д
шугуйгаа	шугуй @@аа
хямдралаа	хямд @@рах @@л @@аа
уурхайд	уурхай @@д
хөнөөл	хөнөх @@л
уриалгыг	урих @@аа @@лага @@ыг
цэцэглэлтээ	цэцэг @@лэх @@лт @@ээ
сэнстэй	сэнс @@тэй
тээвэрлэлтийг	тээх @@вэр @@лэх @@лт @@ийг
сонсвол	сонсох @@вол
устгагч	устгах @@гч
тэгшлэх	тэгш @@лэх
физиологитой	физиологи @@той
өвгөнд	өвгөн @@д
баярлах	баяр @@лах
бугуй	бугуй
багтрах	багт @@рах
хэмнэлээр	хэмнэх @@л @@ээр
цэцэг	цэцэг
бүлгээ	бүлэг @@ээ
нууцаар	нуух @@ц @@аар
хоцрогдлын	хоцрох @@гдох @@л @@ын
хугарал	хуга @@рах @@л
нахиагаа	нахиа @@аа
нэр	нэр
хувьсгалыг	хувь @@сах @@гах @@л @@ыг
дэгээгээр	дэгээ @@ээр
консулд	консул @@д
бахинаас	бахь @@аас
хананд	ханан @@д
хөтчөө	хөтөч @@өө
дутагдлаас	дутах @@гдах @@л @@аас
тэмдэгт	тэмдэг @@т
урвалаар	урвах @@л @@аар
цэцэрлэгийн	цэцэрлэг @@ийн
хамгааллаас	хамгаалах @@л @@аас
бээлийтэй	бээлий @@тэй
суралцагчийн	сурах @@лцах @@гч @@ийн
захиалагч	захиа @@лах @@гч
мөрдөх	мөр @@дөх
бутралаас	бут @@рах @@л @@аас
наймаагаа	наймаа @@аа
товчлуур	товч @@лох @@уур
зураастай	зурах @@аас @@тай
сургаалаас	сурах @@гаах @@л @@аас
тохироотой	тохирох @@оо @@той
хөдөлмөрчнөө	хөдлөх @@мөр @@чин @@өө
захиагаар	захиа @@аар
даяарштал	даяар @@ших @@тал
жолоочийг	жолоо @@ч @@ийг
чичиргээтэй	чичрэх @@гээ @@тэй
шивнээний	шивнэх @@ээн @@ий
зүйрлэлд	зүйр @@лэх @@л @@д
оёдолд	оёх @@дол @@д
тохируулгаа	тохирох @@уулах @@га @@а
зурангаа	зуран @@аа
хүүрнэлээ	хүүрнэх @@л @@ээ
бадминтоны	бадминтон @@ы
лимбэддэг	лимбэд @@дэх @@г
оньслох	оньс @@лох
зангаагаа	зангаа @@аа
үйлчлэгчтэй	үйл @@члэх @@гч @@тэй
танилцуулгаас	таних @@лцах @@уулах @@лгас
битүүлгээ	битүү @@лээ
ритмээ	ритм @@ээ
уургийн	уурах @@г @@ийн
нэвтрүүлэгчээс	нэвтрэх @@үүлэх @@гч @@ээс
үндэстэй	үндэс @@тэй
найзыг	найз @@ыг
ир	ир
гаслантай	гаслан @@тай
чимхүүрээс	чимхүүр @@ээс
номыг	ном @@ыг
ташуурын	ташуур @@ын
ялгадсаар	ялга @@дас @@аар
давтамж	давтах @@мж
торнимоор	торних @@моор
товойтол	товойх @@тол
шунал	шунах @@л
дамжуулалтад	дам @@жих @@уулах @@лт @@д
хүчлээр	хүчих @@л @@ээр
азтай	аз @@тай
хэвлэлтэй	хэв @@лэх @@л @@тэй
тэрэгтэй	тэрэг @@тэй
амттанд	амт @@тн @@д
дүүргэлтэд	дүүргэх @@лт @@д
ноогдолтой	ноогдох @@л @@той
уцаарын	уцаар @@ын
үлгэрээр	үлгэр @@ээр
зарлагаас	зар @@лах @@га @@аас
хүсэлтийн	хүсэх @@лт @@ийн
ачид	ач @@д
сүлжээний	сүлжих @@ээ @@ий
бяслагаас	бяслаг @@аас
ургамлаа	ургах @@мал @@аа
зэвийг	зэв @@ийг
шоштой	шош @@той
чимгээр	чимэг @@ээр
соёлжоосой	соёл @@жих @@оосой
шархны	шарх @@ы
гахайнаас	гахай @@аас
шаналгааны	шаналга @@ы
хэлмэгдэлгүй	хэлмэгдэх @@л @@гүй
пайзаа	пайз @@аа
анчныг	анчин @@ыг
цардастай	цардас @@тай
үндэслэл	үндэс @@лэх @@л
дайралтаар	дайн @@рах @@лт @@аар
тохижуулалтыг	тохижих @@уулах @@лт @@ыг
баривчилгааг	барих @@вч @@лах @@га @@аа
дасгалын	дасгах @@л @@ын
шошоо	шош @@оо
цэвэрлэгээний	цэвэр @@лэх @@гээ @@ий
мэдрэгдэх	мэдрэх @@гдэх
маскийг	маск @@ийг
санаа	сан @@аа
самнаас	сам @@аас
товхимолд	товхимол @@д
дасгалжуулагчаас	дасгал @@жих @@уулах @@гч @@ас
дэвсгэр	дэвсэг
тэвхдэнгээ	тэвх @@дэн @@ээ
сондгойронгоо	сондгой @@рох @@нгоо
хүртвэр	хүртэх @@вэр
слайдаар	слайд @@аар
утгаас	утга @@аас
хүлээсийг	хүлээс @@ийг
дурсамжийг	дурсах @@мж @@ийг
ангаахайгаар	ангаахай @@аар
шилбээ	шилбэ @@ээ
бүргэдтэй	бүргэд @@тэй
үргүйдэлд	үргүй @@дэх @@л @@д
шүүгчийн	шүүх @@гч @@ийн
цоожноос	цоож @@оос
сүр	сүр
тотио	тоть @@о
онтой	он @@той
бөөмтэй	бөөм @@тэй
удирдлага	удирдах @@лага
эрэлтээр	эрэх @@лт @@ээр
захиргаагаа	захирах @@гаа @@аа
засвар	засавар
туслалцаанаас	тус @@лах @@лцах @@аан @@ас
амраар	амар @@аар
эрмэлзэлд	эрмэлзэх @@л @@д
үсний	үс @@ий
мэхлэлт	мэх @@лэх @@лт
хөрөөдчих	хөрөө @@дөх @@чих
газардах	газар @@дах
эвэрлэгээ	эвэр @@лэх @@гээ
луус	луус
автобус	автобус
тэнцвэр	тэнцэх @@в
хөгжимчнийг	хөгжим @@чин @@ийг
гадуурхлын	гадуу @@рах @@л @@ын
салаанд	салаа @@д
шандастай	шандас @@тай
хоногтой	хоног @@той
уулчнаас	уул @@чин @@аас
усталын	устах @@л @@ын
галуунаас	галуу @@аас
бэхээс	бэх @@ээс
залрах	зал @@рах
академи	академи
худагтай	худаг @@тай
хангамжаа	хангах @@мж @@аа
гаансны	гаанс @@ы
бахархах	бахар @@хах
айзмаар	айзам @@аар
инээдэмд	инээх @@дэм @@д
дугуй	дугуй
хөөсөнд	хөөс @@д
эзэмшигчээр	эзэн @@мших @@гч @@ээр
газартай	газар @@тай
шийдвэрлэх	шийдэх @@вэ @@рэх
хэмнэлтээ	хэмнэх @@лт @@ээ
тэнүүл	тэнэхүүл
бяцрах	бяцрах
егөөг	егөө @@г
албажмаар	алба @@жих @@маар
танилцуулгыг	таних @@лцах @@уулах @@лга @@ыг
цоргонд	цорго @@д
цаас	цаас
эзэмшигч	эзэн @@мших @@гч
төвлөрүүлэх	төв @@лрөх @@үүлэх
төмсийг	төмс @@ийг
ачаагаа	ачиа @@аа
романд	роман @@д
бүсгүйг	бүсгүй @@г
сонсогч	сонсох @@гч
загасчинтай	загас @@чин @@тай
гахайгаа	гахай @@аа
дур	дур
зогсцоос	зогсох @@цос
гүйлтээс	гүйх @@лт @@ээс
ахын	ах @@ын
довыг	дов @@ыг
шатыг	шат @@ыг
социализмаас	социализм @@аас
симфонийн	симфони @@ийн
бөөгнөрөл	бөөн @@гнөрөх @@л
таагаар	таа @@аар
эмийг	эм @@ийг
савхадвал	савх @@дах @@вал
нягтшилыг	нягт @@ших @@л @@ыг
талбайд	талбай @@д
дохиураа	дохиу @@рь @@а
радиогийн	радио @@ийн
зөвшөөрлөөр	зөв @@ших @@өөрөх @@л @@өр
бялдуучлалаас	бялдуу @@члах @@л @@аас
хурд	хурд
бичээсний	бичих @@ээс @@ий
дадах	дадах
хурдаа	хурд @@аа
тосны	тос @@ы
алхмаа	алхах @@маа
таглааны	таг @@лах @@аа @@ы
хожуулаа	хожуул @@аа
үүргэвчээ	үүргэвч @@ээ
зурхайгаа	зурах @@ай @@аа
ягштал	ягштах @@л
тагнуулаа	тагнах @@уул @@аа
хамтрал	хамтрах @@л
дэлийг	дэлийг
үзлэгтэй	үзэх @@лэг @@тэй
хөөдөг	хөөдөг
харьяалалд	харьяа @@лах @@л @@д
мэдэгдлийг	мэдэх @@гдэх @@л @@ийг
өвчтөнтэй	өвчин @@тэн @@тэй
завины	завь @@ы
хамтатгалд	хамт @@тгах @@л @@д
шард	шард
сүсэгт	сүсэг @@т
арины	арин @@ы
угсрах	угсрах
зуунаас	зуун @@аас
давталт	давтах @@лт
хуралд	хурах @@л @@д
орцтой	орц @@той
ресторантай	ресторан @@тай
организмыг	организм @@ыг
хулмасанд	хулмас @@д
хушганд	хушга @@д
хаалтыг	хаах @@лт @@ыг
амлах	ам @@лах
шүүмжлэгчээс	шүүх @@мжих @@гч @@ээс
бүдэгхэн	бүдэг @@хэн
залхуу	залхуу
бугуйг	бугуй @@г
эрэмбэд	эрэмбэ @@д
ором	ором
нээгдэх	нээг @@дэх
шүүмжлэгчээ	шүүх @@мжих @@гч @@ээ
багсаа	багс @@аа
нягтшил	нягт @@ших @@л
сургалтад	сургах @@лт @@д
автомашинтай	авто @@машин @@тай
догол	догол
бахиудмагц	бахь @@уудах @@магц
онцлогийн	онц @@лог @@ийн
тодорхойлолт	тод @@рохой @@лох @@лт
дөнжийн	дөнжөө @@ийн
давхаргад	давхар @@га @@д
ял	ял
дүгнэлтийн	дүгнэх @@лт @@ийн
булангаа	булан @@аа
зангаар	занга @@аар
хилэнтэй	хилэн @@тэй
консулаас	консул @@аас
номхотгох	номхо @@тгох
ширээсэнд	ширээс @@д
сонгуулиа	сонгох @@ууль @@а
гийчнийг	гий @@чин @@ийг
ухуулгаа	ухах @@уулах @@гаа
хөтчөөр	хөтөч @@өөр
өдрийн	өдөр @@ийн
ханиадтай	ханиах @@д @@тай
сайдад	сайд @@д
өвгөний	өвгөн @@ий
тохуурхлаар	тохуу @@рхах @@л @@аар
шрифтэд	шрифт @@д
дэлгэцээ	дэлгэх @@ц @@ээ
дохиурыг	дохиу @@р @@ыг
залилах	заль @@лах
ажил	ажил
шивэгчнийг	шивэгчин @@ийг
хөшмөгц	хөшимөгц
нидрүүлгээс	нидрэх @@үүлэх @@г @@ээс
гэдэснээс	гэдэс @@ээс
хандивт	хандив @@т
захирамжийг	захирах @@мж @@ийг
ирмэгийн	ирмэг @@ийн
цогцолбороор	цогцлох @@бор @@оор
ганцаардалтай	ганцаар @@дах @@л @@тай
автобусыг	автобус @@ыг
цохилттой	цохих @@лт @@той
ариутгах	ариун @@тгах
төстэй	төс @@тэй
хотжилтыг	хот @@жих @@лт @@ыг
уянгад	уянга @@д
түгшүүр	түгших @@үүр
зоодойд	зоодой @@д
ёгтлолыг	ёгт @@лох @@л @@ыг
хайлтын	хайх @@лт @@ын
ертөнцөд	ертөнц @@д
тохуурхлыг	тохуу @@рхах @@л @@ыг
урлалд	урлах @@л @@д
тахаар	тах @@аар
бөхийх	бөхийх
прокурорыг	прокурор @@ыг
шаталтад	шатах @@лт @@д
тэнийх	тэнийх
тоглолтоо	тоглох @@лт @@оо
чих	чих
тараалтаар	тарах @@аах @@лт @@аар
мөстэй	мөс @@тэй
хадгалалттай	хадгалах @@лт @@тай
төмрөө	төмөр @@өө
сүсэгтэнд	сүсэг @@тэн @@д
авхуулангаа	авах @@уулан @@аа
соров	соров
төлөгчийг	төлөх @@гч @@ийг
эрхсээ	эрхэс @@ээ
дусалтай	дусах @@л @@тай
борлуулалтад	борлох @@уулах @@лт @@д
заншлаа	занших @@л @@аа
илээр	ил @@ээр
бялдуучлалын	бялдуу @@члах @@л @@ын
цоолох	цоох @@лох
хувиас	хувь @@ас
бахиудвал	бахь @@уудах @@вал
хучлагын	хучих @@лага @@ын
зүйлийг	зүйл @@ийг
үзэсгэлэнтэй	үзэх @@сгэх @@лэн @@тэй
холгодсоор	холгодос @@оор
хийсвэржилт	хийсвэр @@жих @@лт
хэмжигч	хэмжих @@гч
лавлахтай	лав @@лах @@тай
гохноос	гох @@оос
осолд	осол @@д
шүүсэнд	шүүс @@д
урцанд	урц @@д
цалингийн	цалин @@ийн
зөөлрүүлэх	зөөлөх @@рөх @@үүлэх
эргэлзэлд	эргэлзэх @@л @@д
тойргоос	тойрго @@оос
хамтатгалаас	хамт @@тгах @@л @@аас
үерийн	үер @@ийн
баазаа	бааз @@аа
хандивыг	хандив @@ыг
чагт	чагт
үсэглэлд	үсэг @@лэх @@л @@д
товойсон	товойх @@сон
тодорхой	тод @@рох
хавчтай	хавч @@тай
ээрүүл	ээрүүл
цочирдмоор	цочирдом @@оор
академиа	академи @@а
даруухан	дарах @@уун
зангилаатай	занги @@лах @@аа @@тай
баашаа	бааш @@аа
аних	аних
хулганатай	хулгана @@тай
байшин	байшин
дэрийг	дэр @@ийг
жишгийн	жишиг @@ийн
цахлай	цахлай
байнгатай	байнга @@тай
бодисоос	бодис @@оос
сохирхогч	сохирхох @@гч
командлагчад	команд @@лах @@гч @@д
сандалтай	сандах @@л @@тай
сургуулиа	сургах @@ууль @@а
цалингаас	цалин @@аас
тэмцлээ	тэмцэл @@ээ
шохойгоо	шохой @@оо
уулчинтай	уул @@чин @@тай
шүүмжлэлээ	шүүх @@мж @@лэх @@л @@ээ
зуунаар	зуун @@аар
хөшдөг	хөш @@дөг
ойлголтод	ойлгох @@лт @@д
зүтгэлээс	зүтгэх @@л @@ээс
дарааллыг	дараа @@лах @@л @@ыг
өвлөө	өв @@лөө
хөхөрье	хөх @@рөх @@е
ширэгт	ширэг @@т
модернизмтой	модернизм @@той
төгсөгчийг	төгсөх @@гч @@ийг
хөргөгчөө	хөргөх @@гч @@өө
нэрээр	нэр @@ээр
шүүлтэд	шүүх @@лт @@д
огтлолцлыг	огтлох @@лцох @@л @@ыг
дөнжөөс	дөнжөөс
харилцааг	харилцах @@аа @@г
залгах	залгах
компаниар	компани @@ар
шинэтгэлийн	шинэ @@тгэх @@л @@ийн
сүлбэлдээний	сүлбэ @@лдэх @@ээн @@ий
залхууралд	залхуу @@рах @@л @@д
ноёрхлын	ноён @@рх @@л @@ын
өтнөөс	өтнө @@өөс
танхимаас	танхим @@аас
таарамжтай	таарах @@мж @@тай
бүжиглэх	бүжиг @@лэх
хөдөлгөөнийг	хөдлөх @@гөх @@өөн @@ийг
жигшил	жигших @@л
хөгөөс	хөг @@өөс
зөгнөлд	зөгнөх @@л @@д
бэртэлт	бэртэх @@лт
шүүмжийн	шүүх @@мж @@ийн
харвалтын	харах @@валт @@ын
талбарыг	талбар @@ыг
өрцний	өрц @@ий
олборлох	олбор @@лох
мөөгний	мөөг @@ий
адрыг	адар @@ыг
үтрээгээ	үтрээ @@ээ
бутаар	бут @@аар
ээрүүлээ	ээрүүл @@ээ
жатгыг	жатга @@ыг
чихтэй	чих @@тэй
тооцоотой	тооцох @@оо @@той
тэнцэтгэлтэй	тэнцэтгэх @@л @@тэй
аялгын	ая @@лга @@ын
сууриа	суурь @@а
устгалаас	устгах @@л @@аас
шавхуур	шавхуу @@р
үйлчлэлийг	үйл @@члэх @@л @@ийг
шинжтэй	шинж @@тэй
зурагчныг	зурах @@гчин @@ыг
зуучлагчид	зууч @@лах @@гч @@д
шоглох	шог @@лох
өнцгийг	өнцөг @@ийг
ваарчин	ваар @@чин
муухай	муухай
шаталтаас	шатах @@лт @@аас
цардасны	цардас @@ы
зугтах	зугтах
тогтворжилтоо	тогтох @@вор @@жих @@лт @@оо
арьсанд	арьс @@д
намтраар	намтар @@аар
керамикаар	керамик @@аар
илтгэлээс	илтгэх @@л @@ээс
дурсамжтай	дурсах @@мж @@тай
хайгуул	хайх @@гуул
сөргөлдөөнтэй	сөрөх @@гөлдөх @@өөн @@тэй
сүйрлээр	сүйрэх @@л @@ээр
тунадсанд	тунах @@дас @@д
зугтлагын	зугтах @@лага @@ын
хасагдагчтай	хасах @@гдах @@гч @@тай
гэрлийн	гэрэх @@л @@ийн
мужааныг	мужаан @@ыг
гайхамшгаа	гайхамшиг @@аа
таамгаар	таах @@маг @@аар
оролцоонд	орох @@лцоо @@д
дампуурах	дампуу @@рах
өгөөшнөөс	өгөх @@өөш @@өөс
нийлбэртэй	нийлэх @@бэр @@тэй
морь	морь
теннисийг	теннис @@ийг
хучилтыг	хучих @@лт @@ыг
графикийг	график @@ийг
сэргээшинд	сэргээх @@ш @@д
найруулгатай	найрах @@уулах @@га @@тай
хэмжээсийг	хэм @@жих @@ээс @@ийг
дүрслэлтэй	дүрс @@лэх @@л @@тэй
базах	базах
яндангийн	яндан @@ийн
нумнаас	нум @@аас
битүүлгийн	битүү @@лэх @@г @@ийн
бухимдлаар	бухимдах @@л @@аар
сунгалтыг	сун @@гах @@лт @@ыг
өвөрлөчих	өвөр @@лөх @@чих
бөглөх	бөглөх
дамжааны	дамжих @@аа @@ы
ялагдлаас	ялах @@гдах @@л @@аас
тариагаар	тариа @@аар
зогсоцтой	зогсох @@ц @@той
дэмжигчийг	дэмжих @@гч @@ийг
өтгөнтэй	өтгөн @@тэй
үйлчлүүлэгчийг	үйл @@члэх @@үүлэх @@гч @@ийг
үйлчилгээг	үйл @@члэх @@гээ @@г
академийн	академ @@ийн
зөрчигчид	зөр @@чих @@гч @@д
гасланг	гаслан @@г
хуанлиа	хуанли @@а
хэлэлцэгчээ	хэлэлцэх @@гч @@ээ
лимбэдэг	лимбэ @@дэг
капиталаас	капитал @@аас
уурхайчнаар	уурхай @@чин @@аар
дархлаагаа	дархлах @@аа @@аа
албажтал	алба @@жих @@тал
шүүлтээ	шүүх @@лт @@ээ
гуунд	гуу @@д
тулалдааны	тулах @@лдах @@аа @@ы
эргэлтийн	эргэх @@лт @@ийн
гүйцэд	гүйц @@д
ваарчнаас	ваар @@чин @@аас
оптимизм	оптимизм
символизм	символизм
янхнаас	янхан @@аас
солилцох	солих @@лцох
хэрэгжих	хэрэг @@жих
жодоотой	жодоо @@той
батганы	батга @@ы
горьдлогоо	горь @@дох @@лого
үнэлгээний	үнэ @@лэх @@гээ @@ий
мөргөл	мөргөх @@л
тарах	тарах
экватораар	экватор @@аар
барьцалдаатай	барих @@цах @@лдах @@аай
цуглаанаа	цуг @@лах @@аа @@аа
мэрийлтийг	мэрийх @@лт @@ийг
хуурдах	хуур @@дах
луунаас	луу @@аас
амтгүй	ам @@тгүй
салалтаа	салах @@лт @@аа
тактикийг	тактик @@ийг
тарианы	тарих @@аа @@ы
зугаагаар	зугаа @@аар
хоньчноор	хонь @@чин @@оор
хойрго	хойрго
цоожтой	цоож @@той
нөмрөгт	нөмрөх @@г @@т
далайцын	далай @@ц @@ын
редакторын	редактор @@ын
театрыг	театр @@ыг
үрийн	үр @@ийн
оноо	оноо
хойгтой	хойг @@той
унжийсан	унж @@ийн @@сан
шоо	шоо
пальтоны	пальто @@ы
баривчилгаагаар	барих @@вч @@лах @@гаа @@ар
далдлалтаар	далд @@лах @@лт @@аар
хурдатгалаа	хурд @@тгах @@л @@аа
сүв	сүв
монополь	монополь
барилгаар	барих @@лга @@аар
дэвэх	дэвэх
гижиг	гижиг
үйлээ	үйл @@ээ
гуйлгад	гуйх @@лга @@д
байлдагчаар	байлдах @@гч @@аар
угжаа	угж @@аа
үсрэлтээс	үсрэх @@лт @@ээс
асуудалтай	асуух @@дах @@л @@тай
өөдсөөр	өөдөс @@өөр
хуулбартай	хуулах @@бар @@тай
санхүүд	сан @@хүү @@д
ялгаагаа	ялгаа @@аа
шингэлтэд	шингэх @@лт @@д
зураасны	зурах @@аас @@ы
үрлэгийг	үрэлэг @@ийг
